client_id,round,accuracy,epsilon,delta
3,1,0.8932,1.0903,1e-05
1,1,0.8991,1.0903,1e-05
2,1,0.8919,1.0903,1e-05
5,1,0.9005,1.0903,1e-05
4,1,0.8919,1.0903,1e-05
3,2,0.8932,1.2624,1e-05
2,2,0.8919,1.2624,1e-05
1,2,0.8991,1.2624,1e-05
5,2,0.9005,1.2624,1e-05
4,2,0.8919,1.2624,1e-05
3,3,0.8932,1.4345,1e-05
2,3,0.8919,1.4345,1e-05
5,3,0.9005,1.4345,1e-05
4,3,0.8919,1.4345,1e-05
1,3,0.8991,1.4345,1e-05
1,4,0.8991,1.6066,1e-05
3,4,0.8932,1.6066,1e-05
5,4,0.9005,1.6066,1e-05
2,4,0.8919,1.6066,1e-05
4,4,0.8919,1.6066,1e-05
1,5,0.8991,1.7788,1e-05
3,5,0.8932,1.7788,1e-05
2,5,0.8919,1.7788,1e-05
4,5,0.8919,1.7788,1e-05
5,5,0.9005,1.7788,1e-05
